,City,quadrat,species,TraitName,value
240,Halifax,1,Lotus pedunculatus,SLA,26.24888889
241,Halifax,1,Ludwigia palustris,SLA,32.343
242,Halifax,1,Lupinus polyphyllus,SLA,25.33399164
243,Halifax,1,Lycopus europaeus,SLA,63.076
244,Halifax,1,Lysimachia nummularia,SLA,27.65
245,Halifax,1,Lysimachia punctata,SLA,24.2
246,Halifax,1,Lysimachia vulgaris,SLA,27.13785714
247,Halifax,1,Lythrum salicaria,SLA,21.04374844
248,Halifax,1,Maianthemum canadense,SLA,34.5
249,Halifax,1,Maianthemum racemosum,SLA,22.298438
250,Halifax,1,Malva moschata,SLA,20.03333333
251,Halifax,1,Matricaria discoidea,SLA,28.71640662
252,Halifax,1,Medicago lupulina,SLA,27.95847775
253,Halifax,1,Medicago sativa,SLA,21.92874583
254,Halifax,1,Melilotus albus,SLA,31.25
255,Halifax,1,Melilotus officinalis,SLA,18.69256475
256,Halifax,1,Myosotis arvensis,SLA,26.85
257,Halifax,1,Myosotis scorpioides,SLA,48.70537331
258,Halifax,1,Myosotis sylvatica,SLA,29.68
259,Halifax,1,Myrica gale,SLA,11.56247444
260,Halifax,1,Nicandra physalodes,SLA,27.142
261,Halifax,1,Nymphoides peltata,SLA,25.6
262,Halifax,1,Oenothera biennis,SLA,19.57478971
263,Halifax,1,Onoclea sensibilis,SLA,34.9493223
264,Halifax,1,Origanum vulgare,SLA,26.43550394
265,Halifax,1,Ornithogalum umbellatum,SLA,13.2
266,Halifax,1,Osmunda regalis,SLA,17.132
267,Halifax,1,Panicum capillare,SLA,27.35044754
268,Halifax,1,Papaver rhoeas,SLA,31.65
269,Halifax,1,Parthenocissus quinquefolia,SLA,15.12797111
270,Halifax,1,Parthenocissus tricuspidata,SLA,27.66808981
271,Halifax,1,Pastinaca sativa,SLA,32.93333333
272,Halifax,1,Persicaria maculosa,SLA,21.10396355
273,Halifax,1,Phalaris arundinacea,SLA,29.91298619
274,Halifax,1,Phegopteris connectilis,SLA,42.654
275,Halifax,1,Phleum pratense,SLA,25.94907946
276,Halifax,1,Phragmites australis,SLA,15.16013897
277,Halifax,1,Physocarpus opulifolius,SLA,24.3902439
278,Halifax,1,Picea abies,SLA,3.787570986
279,Halifax,1,Picea glauca,SLA,9.023302841
280,Halifax,1,Picea mariana,SLA,10.05217181
281,Halifax,1,Pilosella officinarum,SLA,19.77924312
282,Halifax,1,Pinus banksiana,SLA,18.34597546
283,Halifax,1,Pinus nigra,SLA,4.988605793
284,Halifax,1,Pinus resinosa,SLA,10.23
285,Halifax,1,Pinus strobus,SLA,18.98543681
286,Halifax,1,Pinus sylvestris,SLA,6.20566529
287,Halifax,1,Plantago lanceolata,SLA,18.61644659
288,Halifax,1,Plantago major,SLA,19.21753432
289,Halifax,1,Plantago maritima,SLA,8.94
290,Halifax,1,Plantago rugelii,SLA,16.09650692
291,Halifax,1,Poa compressa,SLA,19.86443948
292,Halifax,1,Poa pratensis,SLA,22.78949607
293,Halifax,1,Polygonum aviculare,SLA,24.10771288
294,Halifax,1,Populus alba,SLA,11.08504403
295,Halifax,1,Populus grandidentata,SLA,13.58225983
296,Halifax,1,Populus tremuloides,SLA,14.4471715
297,Halifax,1,Portulaca oleracea,SLA,17.47752773
298,Halifax,1,Potamogeton natans,SLA,26.93767617
299,Halifax,1,Potentilla argentea,SLA,16.7
300,Halifax,1,Potentilla norvegica,SLA,25.16418862
301,Halifax,1,Potentilla recta,SLA,17.46285714
302,Halifax,1,Potentilla simplex,SLA,31.4
303,Halifax,1,Prunella vulgaris,SLA,25.81820369
304,Halifax,1,Prunus serotina,SLA,15.62238239
305,Halifax,1,Pteridium aquilinum,SLA,29.83498362
306,Halifax,1,Pulmonaria officinalis,SLA,30.96666667
307,Halifax,1,Pyrola elliptica,SLA,20.1
308,Halifax,1,Quercus robur,SLA,13.97738291
309,Halifax,1,Quercus rubra,SLA,15.60681842
310,Halifax,1,Ranunculus acris,SLA,23.77452224
311,Halifax,1,Ranunculus repens,SLA,26.03352496
312,Halifax,1,Raphanus raphanistrum,SLA,25.63333333
313,Halifax,1,Reseda lutea,SLA,17.93333333
314,Halifax,1,Reseda luteola,SLA,19.13333333
315,Halifax,1,Reynoutria japonica,SLA,18.92
316,Halifax,1,Rhus typhina,SLA,16.05139554
317,Halifax,1,Robinia pseudoacacia,SLA,24.43009524
318,Halifax,1,Rorippa palustris,SLA,51.16545455
319,Halifax,1,Rorippa sylvestris,SLA,39.95
320,Halifax,1,Rosa multiflora,SLA,32.47550103
321,Halifax,1,Rosa rugosa,SLA,10.4209838
322,Halifax,1,Rubus chamaemorus,SLA,14.74801731
323,Halifax,1,Rubus idaeus,SLA,23.09890146
324,Halifax,1,Rudbeckia hirta,SLA,19.36240064
325,Halifax,1,Rumex acetosella,SLA,21.91769484
326,Halifax,1,Rumex crispus,SLA,32.1
327,Halifax,1,Rumex longifolius,SLA,30.967
328,Halifax,1,Rumex obtusifolius,SLA,31.79408494
329,Halifax,1,Sagina nodosa,SLA,11.65
330,Halifax,1,Sagina procumbens,SLA,19.25
331,Halifax,1,Salix fragilis,SLA,9.610710776
332,Halifax,1,Sambucus canadensis,SLA,24.45743607
333,Halifax,1,Sambucus racemosa,SLA,23.65514722
334,Halifax,1,Saponaria officinalis,SLA,23.35
335,Halifax,1,Sarracenia purpurea,SLA,41
336,Halifax,1,Scirpus cyperinus,SLA,15.75299307
337,Halifax,1,Scutellaria galericulata,SLA,41.03222222
338,Halifax,1,Securigera varia,SLA,25.63981043
339,Halifax,1,Sedum acre,SLA,11.6047619
340,Halifax,1,Senecio squalidus,SLA,23.25980891
341,Halifax,1,Senecio viscosus,SLA,22.46666667
342,Halifax,1,Senecio vulgaris,SLA,27.24835169
343,Halifax,1,Silene vulgaris,SLA,20.3
344,Halifax,1,Sinapis arvensis,SLA,28.65
345,Halifax,1,Sisymbrium altissimum,SLA,20.8
346,Halifax,1,Sisymbrium officinale,SLA,26.71666667
347,Halifax,1,Solanum dulcamara,SLA,36.88374933
348,Halifax,1,Solanum nigrum,SLA,25.225
349,Halifax,1,Solidago canadensis,SLA,18.01481061
350,Halifax,1,Solidago nemoralis,SLA,20.00234429
351,Halifax,1,Solidago rugosa,SLA,27.87812702
352,Halifax,1,Sonchus arvensis,SLA,21.54444444
353,Halifax,1,Sonchus oleraceus,SLA,39.65001051
354,Halifax,1,Sorbaria sorbifolia,SLA,29.08346685
355,Halifax,1,Sorbus aucuparia,SLA,14.48189318
356,Halifax,1,Spergularia marina,SLA,15.49643537
357,Halifax,1,Spergularia rubra,SLA,18.2950041
358,Halifax,1,Spiraea alba,SLA,12.31830239
359,Halifax,1,Spiraea tomentosa,SLA,15.87671859
360,Halifax,1,Stachys arvensis,SLA,29.8
361,Halifax,1,Stachys palustris,SLA,43.4
362,Halifax,1,Stellaria graminea,SLA,36.98689076
363,Halifax,1,Stellaria media,SLA,53.66986073
364,Halifax,1,Symphoricarpos albus,SLA,17.83333333
365,Halifax,1,Syringa vulgaris,SLA,14.18888889
366,Halifax,1,Tanacetum vulgare,SLA,21.21383109
367,Halifax,1,Thuja occidentalis,SLA,17.62327231
368,Halifax,1,Tilia americana,SLA,31.64053834
369,Halifax,1,Tilia cordata,SLA,28.02163143
370,Halifax,1,Tragopogon pratensis,SLA,18.82363636
371,Halifax,1,Triadenum fraseri,SLA,21.37208805
372,Halifax,1,Trifolium arvense,SLA,19.42912088
373,Halifax,1,Trifolium campestre,SLA,28.28461538
374,Halifax,1,Trifolium hybridum,SLA,25.58519184
375,Halifax,1,Trifolium pratense,SLA,23.99781398
376,Halifax,1,Trifolium repens,SLA,31.33099229
377,Halifax,1,Tropaeolum majus,SLA,33.01909091
378,Halifax,1,Tsuga canadensis,SLA,19.053
379,Halifax,1,Tussilago farfara,SLA,16.92105505
380,Halifax,1,Typha angustifolia,SLA,6.97
381,Halifax,1,Typha latifolia,SLA,10.09537329
382,Halifax,1,Ulmus glabra,SLA,16.09722564
383,Halifax,1,Vaccaria hispanica,SLA,30.24034673
384,Halifax,1,Vaccinium angustifolium,SLA,40
385,Halifax,1,Vaccinium oxycoccos,SLA,9.705370688
386,Halifax,1,Verbascum nigrum,SLA,18.7
387,Halifax,1,Verbascum thapsus,SLA,15.79535676
388,Halifax,1,Veronica agrestis,SLA,55.2
389,Halifax,1,Veronica arvensis,SLA,27.55216667
390,Halifax,1,Veronica chamaedrys,SLA,30.96202691
391,Halifax,1,Veronica longifolia,SLA,19.638
392,Halifax,1,Veronica officinalis,SLA,28.3288
393,Halifax,1,Veronica peregrina,SLA,18.5915493
394,Halifax,1,Veronica persica,SLA,37.45279518
395,Halifax,1,Veronica serpyllifolia,SLA,23.1
396,Halifax,1,Veronica spicata,SLA,7.4
397,Halifax,1,Viburnum opulus,SLA,19.51662167
398,Halifax,1,Vicia cracca,SLA,24.82200746
399,Halifax,1,Vicia sativa,SLA,22.66
400,Halifax,1,Vinca minor,SLA,24.7
401,Halifax,1,Viola arvensis,SLA,24.32
402,Halifax,1,Viola sororia,SLA,15.98593006
403,Halifax,1,Viola tricolor,SLA,28.33
404,Halifax,2,Epipactis helleborine,SLA,33
405,Halifax,2,Equisetum arvense,SLA,16.06534319
406,Halifax,2,Fagus grandifolia,SLA,41.51294203
407,Halifax,2,Hamamelis virginiana,SLA,21.59771976
408,Halifax,2,Larix laricina,SLA,14.62905689
409,Halifax,2,Lysimachia nummularia,SLA,27.65
410,Halifax,2,Maianthemum canadense,SLA,34.5
411,Halifax,2,Onoclea sensibilis,SLA,34.9493223
412,Halifax,2,Osmunda regalis,SLA,17.132
413,Halifax,2,Phragmites australis,SLA,15.16013897
414,Halifax,2,Pilosella officinarum,SLA,19.77924312
415,Halifax,2,Pinus strobus,SLA,18.98543681
416,Halifax,2,Plantago major,SLA,19.21753432
417,Halifax,2,Populus grandidentata,SLA,13.58225983
418,Halifax,2,Potentilla argentea,SLA,16.7
419,Halifax,2,Pteridium aquilinum,SLA,29.83498362
420,Halifax,2,Quercus rubra,SLA,15.60681842
421,Halifax,2,Raphanus raphanistrum,SLA,25.63333333
422,Halifax,2,Sambucus racemosa,SLA,23.65514722
423,Halifax,2,Sarracenia purpurea,SLA,41
424,Halifax,2,Scirpus atrocinctus,SLA,11.57523391
425,Halifax,2,Solanum dulcamara,SLA,36.88374933
426,Halifax,2,Solidago rugosa,SLA,27.87812702
427,Halifax,2,Spiraea tomentosa,SLA,15.87671859
428,Halifax,2,Thuja occidentalis,SLA,17.62327231
429,Halifax,2,Trifolium pratense,SLA,23.99781398
430,Halifax,2,Tsuga canadensis,SLA,19.053
431,Halifax,2,Tussilago farfara,SLA,16.92105505
432,Halifax,2,Verbascum thapsus,SLA,15.79535676
433,Halifax,2,Veronica officinalis,SLA,28.3288
434,Halifax,3,Dryopteris carthusiana,SLA,24.13285714
435,Halifax,3,Equisetum sylvaticum,SLA,24.40581798
436,Halifax,3,Glyceria striata,SLA,17.90419162
437,Halifax,3,Gymnocarpium dryopteris,SLA,57.82749548
438,Halifax,3,Juncus articulatus,SLA,18.80449405
439,Halifax,3,Kalmia angustifolia,SLA,9.125063133
440,Halifax,3,Linnaea borealis,SLA,33.33333333
441,Halifax,3,Maianthemum canadense,SLA,34.5
442,Halifax,3,Matteuccia struthiopteris,SLA,27.4877891
443,Halifax,3,Onoclea sensibilis,SLA,34.9493223
444,Halifax,3,Orthilia secunda,SLA,17.61204085
445,Halifax,3,Poa palustris,SLA,22.91009954
446,Halifax,3,Potentilla norvegica,SLA,25.16418862
447,Halifax,3,Prunus serotina,SLA,15.62238239
448,Halifax,3,Pteridium aquilinum,SLA,29.83498362
449,Halifax,3,Rudbeckia hirta,SLA,19.36240064
450,Halifax,3,Scutellaria galericulata,SLA,41.03222222
451,Halifax,3,Securigera varia,SLA,25.63981043
452,Halifax,3,Spiraea alba,SLA,12.31830239
453,Halifax,3,Trifolium campestre,SLA,28.28461538
454,Halifax,3,Trifolium pratense,SLA,23.99781398
455,Halifax,3,Tussilago farfara,SLA,16.92105505
456,Halifax,4,Eleocharis obtusa,SLA,17.81578479
457,Halifax,4,Epipactis helleborine,SLA,33
458,Halifax,4,Equisetum hyemale,SLA,23.83129898
459,Halifax,4,Galium palustre,SLA,36.0609186
460,Halifax,4,Gymnocarpium dryopteris,SLA,57.82749548
461,Halifax,4,Linaria vulgaris,SLA,19.98333333
462,Halifax,4,Maianthemum canadense,SLA,34.5
463,Halifax,4,Milium effusum,SLA,34.44
464,Halifax,4,Myosotis laxa,SLA,37.19333333
465,Halifax,4,Plantago rugelii,SLA,16.09650692
466,Halifax,4,Ribes rubrum,SLA,30.12884801
467,Halifax,4,Sarracenia purpurea,SLA,41
468,Halifax,4,Symphyotrichum lanceolatum,SLA,10.14198783
469,Halifax,4,Verbena hastata,SLA,21.82568976
470,Halifax,4,Viburnum opulus,SLA,19.51662167
471,Halifax,5,Drosera rotundifolia,SLA,41.55988559
472,Halifax,5,Eleocharis obtusa,SLA,17.81578479
473,Halifax,5,Epilobium ciliatum,SLA,41.31818182
474,Halifax,5,Eupatorium perfoliatum,SLA,18.45325196
475,Halifax,5,Fallopia convolvulus,SLA,21.883804
476,Halifax,5,Fraxinus excelsior,SLA,13.35353632
477,Halifax,5,Geranium robertianum,SLA,25.98467012
478,Halifax,5,Glyceria canadensis,SLA,18.54646915
479,Halifax,5,Glyceria grandis,SLA,37.85
480,Halifax,5,Hypericum perforatum,SLA,25.84784317
481,Halifax,5,Impatiens capensis,SLA,53.40375
482,Halifax,5,Juncus articulatus,SLA,18.80449405
483,Halifax,5,Kalmia angustifolia,SLA,9.125063133
484,Halifax,5,Larix laricina,SLA,14.62905689
485,Halifax,5,Leucanthemum vulgare,SLA,19.63590226
486,Halifax,5,Lycopus americanus,SLA,17.26671455
487,Halifax,5,Malva moschata,SLA,20.03333333
488,Halifax,5,Matteuccia struthiopteris,SLA,27.4877891
489,Halifax,5,Mentha arvensis,SLA,40.98280112
